페이지,제목,내용,작성자,등록일,조회수
8,기아·현대 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 기아㈜, 현대자동차㈜, 테슬라코리아(유), 폭스바겐그룹코리아㈜, 한국토요타자동차㈜에서 제작 또는 수입·판매한 32개 차종 430,534대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (기아) K5 등 2개 차종 210,283대는 전자제어유압장치(HECU) 내구성 부족으로 7월 22일부터, 니로 EV 1,986대는 고전압배터리 전원차단장치 제조 불량으로 7월 24일부터 시정조치를 진행하고 있다. ② (현대) 투싼 등 3개 차종 178,489대는 전자제어유압장치(HECU) 내구성 부족으로 7월 30일부터, GV80 등 2개 차종 3,142대는 전동 사이드스텝* 설계 오류로 7월 31일부터 시정조치에 들어간다. * 차량 문이 개폐됨에 따라 발을 받칠 수 있도록 자동으로 전개되는 장치 ③ (테슬라) 모델Y 22,072대는 등화장치가 설치기준에 적합하지 않는 안전기준 부적합으로 7월 26일부터 시정조치에 들어간다. ④ (폭스바겐) A3 40 TFSI 등 5개 차종 5,341대는 연료펌프 제조 불량으로 7월 26일부터 시정조치에 들어가고, e-tron 55 quattro 833대는 고전압배터리 모듈 제조 불량으로 7월 24일부터 시정조치를 진행하고 있다. ⑤ (토요타) ES300h 등 13개 차종 5,559대는 전방/후방 카메라 용접 불량으로, NX350h 등 4개 차종 2,829대는 전방 인식 카메라 소프트웨어 오류로 각각 7월 25일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-07-25,1037
8,기아·닛산 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 기아㈜, 한국닛산㈜, 현대자동차㈜, 포르쉐코리아㈜, 한국토요타자동차㈜에서 제작 또는 수입·판매한 32개 차종 156,740대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (기아) 쏘렌토 139,478대는 전자제어유압장치(HECU) 내구성 부족에 따라 화재가 발생할 가능성으로 7월 15일부터 시정조치에 들어간다. ② (닛산) Q50 2.2d 등 8개 차종 8,802대는 프로펠러 샤프트* 제조 불량으로 동력이 전달되지 않을 가능성으로 7월 17일부터 시정조치에 들어간다. * 엔진의 동력을 차량 뒤쪽 차동기어까지 전달하는 동력전달장치 ③ (현대) 일렉시티 등 2개 차종 2,887대는 인슐레이터* 내구성 부족에 따라 차량이 멈출 가능성으로 7월 10일부터 시정조치를 진행하고 있고, GV70 2,782대는 엔진점화장치 연결볼트 제조 불량으로 7월 18일부터 시정조치에 들어간다. * 차체와 구동모터를 연결하고 고정하며, 모터의 진동을 저감하는 장치 ④ (포르쉐) 911 카레라 4 GTS 카브리올레 등 17개 차종 2,054대는 차선유지 기능 작동 중 운전자에게 시각 신호를 알리지 못하는 안전기준 부적합으로 7월 17일부터 시정조치에 들어간다. ⑤ (토요타) 프리우스 2WD 등 3개 차종 737대는 뒷문 외부 개폐 손잡이 제조 불량으로 주행 중 뒷문이 열릴 가능성이 확인되어 7월 11일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-07-12,520
8,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 기아㈜, 폭스바겐그룹코리아㈜, 테슬라코리아(유)에서 제작 또는 수입·판매한 11개 차종 456,977대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) G80 등 2개 차종 236,518대는 엔진 시동용 모터 설계 오류로 화재가 발생할 가능성으로, 맥스크루즈 등 2개 차종 37,169대는 전자제어유압장치(HECU) 내구성 부족으로 화재가 발생할 가능성으로 6월 27일부터 시정조치에 들어간다. 싼타페 HEV 18,397대는 전자식 브레이크 소프트웨어 오류로 원격제어장치 작동 중단 시 차량이 즉시 정지되지 않는 안전기준 부적합으로 6월 28일부터 시정조치에 들어간다. ② (기아) 스포티지 157,188대는 전자제어유압장치(HECU) 내구성 부족에 따라 화재가 발생할 가능성으로 7월 3일부터 시정조치에 들어간다. ③ (폭스바겐) ID.4 82kWh 4,886대는 정보전자제어장치 소프트웨어 오류에 따라 속도계, 후방카메라 화면 등이 표시되지 않는 안전기준 부적합으로 6월 28일부터 시정조치에 들어간다. ④ (테슬라) 모델3 등 4개 차종 2,819대는 운전석 좌석안전띠 경고가 정상 작동되지 않는 안전기준 부적합으로 6월 28일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-06-26,988
8,기아·포르쉐 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 기아㈜, 포르쉐코리아㈜, 르노코리아자동차㈜, 한국토요타자동차㈜, 한국지엠㈜, 현대자동차㈜에서 제작 또는 수입·판매한 17개 차종 36,897대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다고 밝혔다. ① (기아) 포르테 19,291대는 전자제어유압장치(HECU) 내구성 부족으로 6월 12일부터 시정조치를 진행하고 있고, 봉고3 11,896대 중 11,784대는 액화석유가스(LPG) 탱크 제조 불량, 112대는 엔진부 고압펌프 제조 불량으로 6월 18일부터 시정조치에 들어간다. ② (포르쉐) 카이엔 등 8개 차종 3,087대는 주행보조시스템 소프트웨어 오류로 차선유지 기능 작동 중 운전자에게 시각 신호를 알리지 못하는 안전기준 부적합으로 6월 7일부터 시정조치를 진행하고 있다. ③ (르노) MASTER 1,830대는 측면 보조방향지시등의 광도 등이 최소 기준을 만족하지 못하는 안전기준 부적합으로 6월 7일부터 시정조치를 진행하고 있다. ④ (토요타) 아발론 하이브리드 등 3개 차종 524대는 조수석 승객감지 센서 회로기판 제조 불량으로 6월 13일부터 시정조치에 들어간다. ⑤ (지엠) 트래버스 159대는 후부 및 옆면 반사기의 반사 성능이 최소 기준을 만족하지 못하는 안전기준 부적합으로 6월 12일부터 시정조치를 진행하고 있다. ⑥ (현대) 포터2 110대는 엔진부 고압펌프 제조 불량으로 6월 18일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-06-17,471
9,현대·기아·르노 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 기아㈜, 르노코리아자동차㈜, 한국토요타자동차㈜, 폭스바겐그룹코리아㈜에서 제작 또는 수입·판매한 12개 차종 266,074대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다고 밝혔다. ① (현대) 그랜드스타렉스 116,745대는 냉각수 호스 설계 오류로, 제네시스 쿠페 등 2개 차종 3,401대는 전자제어유압장치(HECU) 내구성 부족으로 5월 30일부터 시정조치에 들어가고, 싼타페 HEV 27,516대는 배터리관리시스템(BMS) 소프트웨어 오류로 5월 24일부터 시정조치에 들어간다. ② (기아) 카니발 71,271대는 엔진오일필터 제조 불량으로 6월 3일부터 시정조치에 들어가고, 카렌스 등 2개 차종 8,456대는 전자제어유압장치(HECU) 내구성 부족으로 5월 29일부터 시정조치에 들어간다. ③ (르노) XM3 37,808대는 연료공급호스 고정장치 설계 오류로 5월 17일부터 시정조치를 진행하고 있다. ④ (토요타) 렉서스 LS500h 등 3개 차종 436대는 조수석 시트 조립 불량으로 5월 23일부터 시정조치에 들어간다. ⑤ (폭스바겐) ID.4 441대는 앞좌석 등받이 체결불량으로 5월 28일부터 시정조치에 들어간다. □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-05-28,707
9,현대·기아·랜드로버 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 기아㈜, ㈜재규어랜드로버코리아, 폭스바겐그룹코리아㈜에서 제작 또는 수입·판매한 11개 차종 7,738대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다고 밝혔다. ① (현대, 기아) 현대 아반떼 등 5개 차종 4,118대 및 기아 K3 등 3개 차종 2,668대는 배기가스 재순환장치(EGR) 밸브 전원단 도포 불량으로 주행 중 시동이 꺼져 차량이 멈출 가능성으로 5월 13일(월)부터 시정조치한다. ② (재규어랜드로버) 더 뉴 레인지로버 스포츠 P360 등 2개 차종 329대는 뒷면 우측 등화장치 고정너트 체결 불량으로 각종 등화(후미등, 제동등, 방향지시등)가 작동되지 않을 가능성으로 5월 13일(월)부터 시정조치에 들어간다. ③ (폭스바겐) 투아렉 3 3.0 TDI 623대는 운전자 지원 모바일 앱 소프트웨어 오류로 원격 주차 중 반전기능* 사용 시 장애물을 감지하지 못하는 안전기준 부적합 사항이 확인되어 5월 22일(수)부터 시정조치에 들어간다. * 주차 전 원래 위치로 되돌아가게 하는 기능□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-05-08,724
9,기아·현대·벤츠 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 기아㈜, 현대자동차㈜, 메르세데스벤츠코리아㈜, 스텔란티스코리아㈜에서 제작 또는 수입·판매한 43개 차종 206,844대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다. ① (기아) 니로 HEV 등 2개 차종 111,307대는 엔진동력전달 제어장치 제조 불량으로 5월 7일(화)부터, K9 21,770대는 전자제어유압장치(HECU)의 내구성 부족으로 4월 24일(수)부터, 니로 PHEV 등 2개 차종 7,287대는 전조등의 상·하향 전환 불량으로 5월 2일(목)부터 시정조치에 들어간다. ② (현대) 엑센트 37,059대는 전자제어유압장치(HECU)의 내구성 부족으로 4월 30일(화)부터 시정조치에 들어간다. ③ (벤츠) GLE 450 4MATIC 등 12개 차종 12,629대는 48V 배터리 접지부의 연결볼트 고정 불량으로, A 220 Sedan 등 21개 차종 12,797대는 계기판의 안개등 표시 안전기준 부적합으로, E 300 4MATIC 등 3개 차종 1,512대는 변속기 배선경로 부적정으로 각각 5월 3일(금)부터 시정조치에 들어간다. ④ (스텔란티스) 짚체로키 2,483대는 파워 리프트 게이트*의 배수 구조 설계오류로 제어장치에 수분 유입에 따른 단락으로 화재 발생 가능성이 확인되어 4월 30일(화)부터 시정조치에 들어간다. * 자동차 트렁크를 자동으로 열고 닫을 수 있는 장치□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-04-24,1013
9,현대·벤츠 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 메르세데스벤츠코리아㈜, 스텔란티스코리아㈜, 만트럭버스코리아㈜에서 제작 또는 수입·판매한 23개 차종 11,159대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다. ① (현대) 싼타페 등 2개 차종 6,468대는 2열 시트 제조 불량으로, G80 등 4개 차종 572대는 앞바퀴 어퍼암* 고정볼트 제조 불량으로 각각 4월 19일(금)부터, 그랜저 등 2개 차종 769대는 계기판 소프트웨어 오류로 4월 18일(목)부터 시정조치에 들어간다. * 자동차본체와 바퀴를 연결하는 부품으로 노면의 충격과 진동을 저감하는 역할 ② (벤츠) S 500 4MATIC 등 11개 차종 2,485대는 연료펌프 내 부품(임펠러) 의 내구성 부족으로 4월 19일(금)부터 시정조치에 들어간다. ③ (스텔란티스) Peugeot e-2008 Electric 등 3개 차종 557대는 전자장비 제어장치 소프트웨어 오류로 4월 12일(금)부터 시정조치를 진행하고 있다. ④ (만트럭) TGX 트랙터 308대는 트레일러 연결장치*의 볼트 체결 불량으로 4월 19일(금)부터 시정조치에 들어간다. * 견인차(트랙터)와 피견인차(트레일러)를 연결하는 장치□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-04-18,528
10,벤츠·스텔란티스 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 메르세데스-벤츠코리아㈜, 스텔란티스코리아㈜, 혼다코리아㈜, 재규어랜드로버코리아㈜에서 수입하여 판매한 62개 차종 50,760대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다. ① (벤츠) E 350 4MATIC 등 8개 차종 27,406대는 48V 배터리 접지부의 연결볼트 고정 불량으로 4월 5일(금)부터, GLC 300 4MATIC 등 31개 차종 8,833대는 퓨즈박스 내 설치된 퓨즈 제조 불량으로 4월 5일(금)부터 시정조치한다. GLE 450 4MATIC 등 2개 차종 8,058대는 변속기 컨트롤 유닛 소프트웨어 오류로 3월 29일(금)부터 시정조치를 진행하고 있다. ② (스텔란티스) 짚그랜드체로키 3,229대는 차량 앞쪽 상부 컨트롤 암* 고정 볼트 조립 불량으로 4월 8일(월)부터 시정조치에 들어간다. * 컨트롤 암 : 자동차 본체와 바퀴를 연결하는 장치 ③ (혼다) ACCORD 등 7개 차종 1,692대는 조수석 중량센서 회로기판의 제조 불량으로 4월 5일(금)부터 시정조치에 들어간다. ④ (재규어랜드로버) 레인지로버 5.0SC 등 13개 차종 1,542대는 후방카메라 커버(하우징) 제조 불량으로, 3월 26일(화)부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-04-04,348
10,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 기아㈜, 스텔란티스코리아㈜, 테슬라코리아(유)에서 제작 또는 수입·판매한 12개 차종 232,000대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다. ① (현대) 아이오닉5 등 5개 차종 113,916대는 통합충전제어장치(ICCU) 소프트웨어 오류로 3월 18일(월)부터, 아반떼 61,131대는 전조등 내구성 부족으로 3월 19일(화)부터 시정조치에 들어간다. ② (기아) EV6 56,016대는 통합충전제어장치(ICCU) 소프트웨어 오류로 3월 18일(월)부터, 레이 126대는 햇빛가리개 에어백 경고문구가 미표기된 안전기준 부적합으로 3월 20일(수)부터 시정조치에 들어간다. ③ (스텔란티스) 짚체로키 527대는 후퇴등 설치 위치가 기준(높이 1,200mm)보다 높게 설치된 안전기준 부적합으로, 짚랭글러PHEV 148대는 고전압배터리 제조불량으로 각각 3월 25일(월)부터 시정조치에 들어간다. ④ (테슬라) 모델3 등 2개 차종 136대는 저속 주행 및 후진 시 보행자 경고음이 울리지 않는 안전기준 부적합으로 3월 21일(목)부터 시정조치에 들어간다. □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-03-14,1082
10,현대·비엠더블유 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 비엠더블유코리아㈜, 기아㈜,스텔란티스코리아㈜에서 제작 또는 수입·판매한 43개 차종 69,044대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다고 밝혔다. ① (현대) EQ900 등 3개 차종 22,803대는 엔진오일공급 파이프 내구성 부족으로 3월 13일(수)부터, 포터2 13,457대는 엔진 구동벨트 장력 조절 장치의 고정볼트 설계 불량으로 3월 7일(목)부터 시정조치에 들어간다. ② (비엠더블유) BMW X7 xDrive40i 등 34개 차종 12,607대는 통합제동장치 제조불량으로 3월 5일(화)부터 시정조치를 진행하고 있다. * 통합제동장치 : 전자식 및 유압식 브레이크 시스템이 통합된 장치 ③ (기아) K9 등 2개 차종 11,569대는 엔진오일공급 파이프 내구성 부족으로 3월 13일(수)부터, 봉고3 7,653대는 엔진 구동벨트 장력 조절 장치의 고정볼트 설계 불량으로 3월 7일(목)부터 시정조치에 들어간다. ④ (스텔란티스) 짚랭글러PHEV 등 2개 차종 955대는 냉각수 히터 소프트웨어 오류로 3월 11일(월)부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-03-11,660
10,테슬라 · 기아 · 현대 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 테슬라코리아(유), 기아㈜, 현대자동차㈜, ㈜GS글로벌, 포드세일즈서비스코리아(유), 범한자동차㈜에서 제작 또는 수입·판매한 19개 차종 54,792대에서 제작결함이 발견되어 자발적으로 시정조치(리콜) 한다고 밝혔다. ① (테슬라) 모델3 등 4개 차종 51,785대는 계기판 표시등 글자 크기가 기준 보다 작아 안전기준 부적합으로, 모델X 등 2개 차종 852대는 후방카메라 소프트웨어 오류로 각각 2월 21일(수)부터 시정조치에 들어간다. ② (기아) EV6 366대는 뒷바퀴 동력전달장치 제조불량으로, 니로 EV 92대는 앞바퀴 동력전달장치 제조불량으로 각각 2월 21일(수)부터 시정조치에 들어간다. ③ (현대) 아이오닉5 등 3개 차종 641대는 뒷바퀴 동력전달장치 제조불량으로 2월 28일(수)부터 시정조치에 들어간다. ④ (BYD) NEW BYD eBus-12 등 5개 차종 606대(수입사:GS글로벌)는 승차장치(승강구 등) 규격이 기준에 미달하여 2월 23일(금)부터 시정조치에 들어간다. ⑤ (포드) 네비게이터 350대는 후방카메라 내구성 부족으로 2월 22일(목)부터 시정조치에 들어간다. ⑥ (황해) E-SKY11 등 2개 차종 100대(수입사:범한)는 승차장치(승강구 등) 규격이 기준에 미달하여 2월 22일(목)부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",관리자,2024-02-21,895
